Name,ID,Centraility,Popularity,Threshold
Christa Ludwig,1Jgntox16Lhl0bFoRhV3Ar,0.03161148548890203,40,13
Pietro Mascagni,3Z5fRknMBBNfCw6pkgR9S8,0.031385535324437865,50,13
Franz Xaver Gruber,395Z91yDQ05pkMbRKik18y,0.03121503520146358,51,13
Georg Philipp Telemann,2fg5h5pzleqI4RjFopWroj,0.030879790492984564,56,13
Academy of St. Martin in the Fields,77CaCn32H4mOMQA7UElzfF,0.030702479069405462,67,13
Munich Radio Orchestra,0epMHcfPfSyf4QArBZCxWX,0.030631420808730162,46,13
Fritz Wunderlich,3jp4zawfeVYVpSzO2Yujbv,0.030120368526918545,43,13
Lucia Popp,6FUbcx4NUDhuIqsmsFyIqJ,0.0301154356149443,39,13
Yvonne Kenny,6Mh6TOKv7l4wRDtQ4rROyC,0.0300805150223925,31,13
Staatskapelle Dresden,3Vfvyx6OouTxYU3emXonW7,0.029915628042556576,54,13
Elisabeth Schwarzkopf,0B94ekfBARqVS2gwrTnvJ6,0.029887914910290612,39,13
Anne Sofie von Otter,4pFlv4QVInj7bAo0MqHpwW,0.029610402887191876,50,13
Samuel Barber,4XDJurjQCnWLlE7KLZCT9x,0.02960594654919096,57,13
Barbara Hendricks,3NkCIDMU5HgFAyVLVdCWgE,0.02914457062082473,39,13
José Carreras,1ahGKezyX9Rl7GuEF2tc15,0.028852785564291893,54,13
Anton Bruckner,2bM3j1JQWBkmzuoZKu4zj2,0.028680155541622412,50,13
Gustav Holst,5B7uXBeLc2TkR5Jk23qKIZ,0.02866282247246357,56,13
Sir Colin Davis,0TrG2LSot4KhaXqdf5K2zE,0.028646202806230037,60,13
Sir Neville Marriner,6NUhQz7eAEsZvjEHTKHux9,0.028612906166195405,66,13
Dame Joan Sutherland,57ut70dPEUxC1dk83YY3hY,0.028506526874016086,51,13
John Rutter,0qlhpgr87PEG89Jd5iRpxe,0.02843155821225193,63,13
Royal Concertgebouw Orchestra,2HqNckz4bPVT37fWkhugTZ,0.0283543502708243,59,13
Sir Charles Mackerras,1iyvtzGjtuQa1I5UGpzk6l,0.02762956505483904,52,13
Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS,0.2328800406088711,78,14
Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408,0.19399165220055212,81,14
Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS,0.15528914221824708,76,14
Johannes Brahms,5wTAi7QkpP6kp8a54lmTOq,0.13577177431279774,67,14
Franz Schubert,2p0UyoPfYfI76PCStuXfOP,0.13387618222143188,68,14
George Frideric Handel,1QL7yTHrdahRMpvNtn6rI2,0.13067815398547528,70,14
Felix Mendelssohn,6MF58APd3YV72Ln2eVg710,0.11642990135761536,63,14
Giuseppe Verdi,1JOQXgYdQV2yfrhewqx96o,0.11308044216297522,64,14
Pyotr Ilyich Tchaikovsky,3MKCzCnpzw3TjUYs2v7vDA,0.10648189383182717,73,14
Traditional,1U5zgr455OGyIkLNXvDdrf,0.10035457667296203,70,14
Anonymous,4kCZ5nyurc9eIqLJfUcW0Y,0.09644461465500263,61,14
Robert Schumann,2UqjDAXnDxejEyE0CzfUrZ,0.09615224139574158,63,14
Richard Wagner,1C1x4MVkql8AiABuTw6DgE,0.0884812759097328,60,14
Franz Joseph Haydn,656RXuyw7CE0dtjdPgjJV6,0.088041783173814,62,14
Richard Strauss,6pAwHPeExeUbMd5w7Iny6D,0.08321097252010595,56,14
Claude Debussy,1Uff91EOsvd99rtAupatMP,0.0753353175691887,71,14
Antonín Dvořák,6n7nd5iceYpXVwcx8VPpxF,0.07475149849388264,63,14
Maurice Ravel,17hR0sYHpx7VYTMRfFUOmY,0.07379485149902623,63,14
Antonio Vivaldi,2QOIawHpSlOwXDvSqQ9YJR,0.07375152282489514,72,14
Gioachino Rossini,0roWUeP7Ac4yK4VN6L2gF4,0.0724490441102298,57,14
Giacomo Puccini,0OzxPXyowUEQ532c9AmHUR,0.07220725148927562,65,14
Camille Saint-Saëns,436sYg6CZhNefQJogaXeK0,0.07126323904330678,64,14
Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd,0.0711985753857438,58,14
London Symphony Orchestra,5yxyJsFanEAuwSM5kOuZKc,0.06432413122275055,76,14
Gabriel Fauré,2gClsBep1tt1rv1CN210SO,0.06301510550546786,64,14
Sergei Rachmaninoff,0Kekt6CKSo0m5mivKcoH51,0.060833226111795626,66,14
Charles Gounod,42Vmza0WYHdhsgxFmf9Tui,0.06057863488169935,56,14
Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4,0.058870348511913764,76,14
Wiener Philharmoniker,003f4bk13c6Q3gAUXv7dGJ,0.05789392497437685,69,14
Franz Liszt,1385hLNbrnbCJGokfH2ac2,0.056825138319529615,66,14
Gustav Mahler,2ANtgfhQkKpsW6EYSDqldz,0.05653729908543476,57,14
